sentences,labels,lang
PMCE: efficient inference of expressive models of cancer evolution with high prognostic power,bioinformatics,0
灵长类动物睾丸转录组的收敛演化反映了交配策略,evolutionary biology,1
一种用于预测蛋白质RNA相互作用中残基碱接触的最大修订模型,bioinformatics,1
基于ATOSC两组分制的工程乙酸乙酸酯诱导的全细胞生物传感器,synthetic biology,1
Association of NQO1 C609T (Pro187Ser) with risk of Oral Submucous Fibrosis in Eastern Indian population,genetics,0
Fast gene set enrichment analysis,bioinformatics,0
Immunoecology of species with alternative reproductive tactics and strategies,evolutionary biology,0
遗传密码和基因组被优化为移码耐受性，而移码和野生型蛋白序列始终高度相似,genetics,1
使用3-Locus连锁不平衡估算多个混合事件的时间安排,bioinformatics,1
重新审视红色对人类竞争的影响,evolutionary biology,1
Resolving the Functional Significance of BRCA1 RING Domain Missense Substitutions,genetics,0
持续的软件开发，而不是引用数量或期刊选择，表明了准确的生物信息学软件,bioinformatics,1
在单细胞RNA-seq实验中校正嵌合串扰,bioinformatics,1
The Arabidopsis Framework Model version 2 predicts the organism-level effects of circadian clock gene mis-regulation,plant biology,0
Aperiodic neural activity is a better predictor of schizophrenia than neural oscillations,neuroscience,0
Population Temporal Structure Supplements The Rate Code During Sensorimotor Transformations,neuroscience,0
Sexual dimorphism and plasticity in wing shape in three Diptera,zoology,0
无激光超分辨率显微镜,biophysics,1
The Effects of Central Nervous System Stimulants on Drosophila melanogaster Reproduction,developmental biology,0
Proteins with prion-like domains can form viscoelastic condensates that enable membrane remodeling and endocytosis,cell biology,0
肠道到神经元信号传导在露天秀丽隐杆线虫中改变冒险行为,neuroscience,1
Distinct C4 Sub-Types and C3 Bundle Sheath Isolation In The Paniceae Grasses,plant biology,0
The effects of an 8-week mindful eating intervention on anticipatory reward responses in striatum and midbrain,neuroscience,0
Bromodomains regulate dynamic targeting of the PBAF chromatin remodeling complex to chromatin hubs,cell biology,0
cytoNet: Spatiotemporal Network Analysis of Cell Communities,bioengineering,0
植物遗传对微生物中心的影响影响整个现场试验的适应性,plant biology,1
MARS-Net: Deep learning-based segmentation pipeline for profiling cellular morphodynamics from multiple types of live cell microscopy,bioinformatics,0
组蛋白脱乙酰基酶抑制减少了由Ingenol刺激诱导的有害细胞因子释放,microbiology,1
"血浆淀粉样β水平由APOE，BACE1，APP，PSEN2附近的遗传变异驱动：全基因组的关联研究超过12,000名非痴呆参与者",genetics,1
Measuring nonapoptotic caspase activity with a transgenic reporter in mice,neuroscience,0
改进的管理促进了标志性鱼类的返回,ecology,1
Early urinary candidate biomarkers and clinical outcomes of intervention in a rat model of experimental autoimmune encephalomyelitis,biochemistry,0
Majority of choice-related variability in perceptual decisions is present in early sensory cortex,neuroscience,0
在HI-C实验中删除样品之间的不良变化,genomics,1
细菌GW效应器直接靶向拟南芥1，以抑制被诱发的免疫力并引起疾病,plant biology,1
考拉逆转录病毒的差异和缺陷表达表明宿主和病毒的复杂性,microbiology,1
Experimental evidence of non-classical brain functions,bioinformatics,0
A GenoChemetic strategy  for derivatization of the violacein natural product scaffold,synthetic biology,0
概念证明在活细胞中连续事件记录,synthetic biology,1
Modeling Dynamic Transcriptional Circuits with CRISPRi,synthetic biology,0
Scanning along a compressed timeline of the future,animal behavior and cognition,0
Single-cell characterization of step-wise acquisition of carboplatin resistance in ovarian cancer,cancer biology,0
System drift and speciation,evolutionary biology,0
玻璃珠对电池培养的有效性,biophysics,1
Iron oxidation by a fused cytochrome-porin common to diverse iron-oxidizing bacteria,microbiology,0
分子和形态学的新型整合建模精确指标横跨时间尺度的犬科进化,evolutionary biology,1
Dynamic Flux Balance Analysis Models in SBML,bioinformatics,0
SEIDR：有效计算可靠的集合基因网络,bioinformatics,1
次级低磁化显微照片的高通量微殖民生长分析,bioinformatics,1
Visual and auditory brain areas share a representational structure that supports emotion perception,neuroscience,0
稀有变体关联研究的贝叶斯模型比较,genetics,1
NK细胞激活和抑制受体的纳米级共定位控制信号积分,immunology,1
精灵：用于教学遗传漂移的互动实时模拟,scientific communication and education,1
突变鲁棒性对多细胞生物的发展性的影响,evolutionary biology,1
语义网络大脑区域在将先验知识与持续对话集成的重要性,neuroscience,1
Y染色体非编码RNA通过小鼠睾丸中的PIRNA调节常染色体基因表达,genomics,1
Effects of adaptive harvesting on fishing down processes and resilience changes in predator-prey systems,ecology,0
Does deterministic coexistence theory matter in a finite world?,ecology,0
Splicing motifs are organized within global structural scaffold of a pre-mRNA,biochemistry,0
Manipulation of the unfolded protein response: a pharmacological strategy against coronavirus infection,microbiology,0
Dissecting indirect genetic effects from peers in laboratory mice,genetics,0
Spatial distribution of private gene mutations in clear cell renal cell carcinoma,cancer biology,0
DSBA是一种可氧化还原的机械伴侣,biophysics,1
A constraints-based theory of senescence: imbalance of epigenetic and non-epigenetic information in histone crosstalk,developmental biology,0
Cargo-Loading of Misfolded Proteins into Extracellular Vesicles: The CSPα-EV Export Pathway,neuroscience,0
结构上有效的有效大脑连通性,neuroscience,1
Characterization of Animal Movement Patterns using Information Theory: a Primer,ecology,0
精子形态差异与猪生育,developmental biology,1
Direct programming of human mammary self-organised organoids by miR-106a-3p,cell biology,0
热平衡处的聚合物刷双层：密度功能理论方法,biophysics,1
经验单细胞跟踪和细胞命运模拟揭示了p53在肿瘤抑制中的双重作用,cell biology,1
Identification and design of vinyl sulfone inhibitors against Cryptopain1-a cysteine protease from cryptosporidiosis-causing Cryptosporidium parvum,bioinformatics,0
Spatial RNA sequencing identifies robust markers of vulnerable and resistant human midbrain dopamine neurons and their expression in Parkinson's Disease,neuroscience,0
在人类推理中解离语言和思想,neuroscience,1
广泛的地理抽样揭示了果蝇的可预测，普遍和强烈的季节性适应,evolutionary biology,1
使用单摄像机进行鸟类飞行的3D重建,animal behavior and cognition,1
种间真菌杂种龙孢菌显示亚基因组特异性基因表达,microbiology,1
Ecological Network assembly: how the regional meta web influence local food webs,ecology,0
Network Reconstruction from Perturbation Time Course Data,systems biology,0
"Rapid adaptation of endocytosis, exocytosis and eisosomes after an acute increase in membrane tension in yeast cells",cell biology,0
对假单胞菌蛋白质的实验进化的表型和遗传结果的进化预测,evolutionary biology,1
KCHIP4A选择性控制中脱甲贝胺多巴胺神经元抑制性整合并从阴性预测错误中学习,neuroscience,1
A pragmatic approach to make theoretical syntheses in ecology,ecology,0
Microbial adaptation to venom is common in snakes and spiders,microbiology,0
The Goldilocks Effect: Female geladas in mid-sized groups have higher fitness,evolutionary biology,0
Joint inference of species histories and gene flow,evolutionary biology,0
5'修改提高了精确基因组编辑的DNA供体的效力和功效,molecular biology,1
结构感知的结核分枝杆菌功能注释解开耐药性，代谢和毒力基因,genomics,1
分散语言信息会损害演讲的神经跟踪,neuroscience,1
"Extracellular histones, a new class of inhibitory molecules of CNS axonal regeneration",neuroscience,0
Dispensing a synthetic green leaf volatile to two plant species in a common garden differentially alters physiological responses and herbivory,ecology,0
北方湖泊的浮游植物和浮游动物社区的分类和功能生物地理,ecology,1
使用机器学习预测连续性的亚临床精神病经验,neuroscience,1
腹侧额叶损伤的人具有更不稳定但仍具有传递性的偏好,neuroscience,1
使用稀数式化的肿瘤基因组中的从头突变签名发现,bioinformatics,1
"GranatumX: A community engaging, modularized and flexible software environment for single-cell analysis",bioinformatics,0
来自基因区域的高质量SNP突出了欧洲白橡树（Quercus Petraea和Q. Robur）中的渗入模式。,evolutionary biology,1
Eye movements during text reading align with the rate of speech production,neuroscience,0
Basal ganglia and cortical control of thalamic rebound spikes,neuroscience,0
Reduction in CD11c+ microglia correlates with clinical progression in chronic experimental autoimmune demyelination,neuroscience,0
Dimerisation of APOBEC1 is dispensable for its RNA/DNA editing activity and modulates its availability,molecular biology,0
洞穴甲烷营养社区的多样性和组成,microbiology,1
Genetic characterization of outbred Sprague Dawley rats and utility for genome-wide association studies,genetics,0
核包膜萌芽是对细胞应激的反应,cell biology,1
张力抑制了Aurora B激酶触发的重构动力学微管附件的释放,cell biology,1
Human cortical dynamics during full-body heading changes,neuroscience,0
Paternal knockdown of tRNA (cytosine-5-)-methyltransferase (Dnmt2) increases offspring susceptibility to infection in flour beetles,evolutionary biology,0
一种预测产生孢子的病原体对异质环境中定量抗性的适应性的epi-进化模型,evolutionary biology,1
Subcutaneous neurotrophin-3 infusion induces corticospinal neuroplasticity and improvements in dexterity and walking in elderly rats after large cortical stroke,neuroscience,0
Ratio-based sensing of two transcription factors regulates the transit to differentiation,developmental biology,0
Pink Cedar (Acrocarpus fraxinifolius): its prophylactic role against APAP induced organs toxicity in rats and its antiviral activity against Herpes simplex virus type 1,physiology,0
Dual brain cortical calcium imaging reveals social interaction-specific wide-spread correlated cortical activity in mice.,neuroscience,0
RegTools：用于发现癌症剪接变体的基因组和转录数据的综合分析,bioinformatics,1
感官经验通过涉及脱纳尔蛋白的不同途径控制树突结构和行为,neuroscience,1
两者中最好的：一个新的脂质综合体具有胶束和类似于比塞尔的特性,biophysics,1
通过多元ACE建模方法推断大型功能网络的遗传力,neuroscience,1
阿尔茨海默氏症的BIN1遗传危险因素足以诱导内hinal骨皮质道回路的早期结构性改变和相关的海马多尺度损害,neuroscience,1
Single cell variations in expression of codominant alleles A and B on RBC of AB blood group individuals.,genetics,0
由于分层近似推断，知觉决策的确认偏见,animal behavior and cognition,1
在个人规模上推断世代之间的语言传播,bioinformatics,1
我知道！基于响应的结果预测和信心调节反馈处理和学习,neuroscience,1
用于与曝光变量的高维相互作用的稀疏添加剂模型,bioinformatics,1
Decoding locomotion from population neural activity in moving C. elegans,neuroscience,0
Epigenome priming dictates transcription response and white matter fate upon perinatal inflammation,developmental biology,0
Reorganization of thalamocortical connections in congenitally blind humans,neuroscience,0
Inference of the worldwide invasion routes of the pinewood nematode Bursaphelenchus xylophilus using approximate Bayesian computation analysis,genetics,0
循环，与条件无关的活性在原发性运动皮层中预测矫正运动行为,neuroscience,1
通过可视化基因环境 - 环境交往，了解范围扩展和环境适应的人口历史,bioinformatics,1
The molecular pH-response mechanism of the plant light-stress sensor PsbS,biophysics,0
在羟考酮自身给药期间，脑奖励状态的矛盾变化在负面强化假设的新测试中,neuroscience,1
From predictive models to cognitive models: Separable behavioral processes underlying reward learning in the rat,animal behavior and cognition,0
Brain X chromosome inactivation is not random and can protect from paternally inherited neurodevelopmental disease.,neuroscience,0
"Timing polymerase pausing with TV-PRO-seq: dissecting the interplay of pausing duration and location, and gene expression",systems biology,0
A thermodynamic chemical reaction network drove autocatalytic prebiotic peptides formation,biochemistry,0
从成对记录和光遗传学推断因果关系,neuroscience,1
"In for a pound, in for a penny: How the opportunity to gain reward influences the competition for memory resources",neuroscience,0
喀麦隆三个健康区的持久杀虫网的所有权，覆盖范围，利用和维护：一项横断面研究,epidemiology,1
健康的选择取决于信息积累的延迟和速率,neuroscience,1
Consistency of non-cognitive skills and their relation to educational outcomes in a UK cohort,genetics,0
可以通过一种机制来解释对注意力的预测性和奖励影响,neuroscience,1
Candida Utilis和Idesia Polycarpa var的联合使用。维斯蒂塔水果改善了鹌鹑的生产性能,microbiology,1
EEG-based detection of the locus of auditory attention with convolutional neural networks,neuroscience,0
Mismatch repair disturbs meiotic class I crossover control,genetics,0
Neural Basis Of The Sound-Symbolic Crossmodal Correspondence Between Auditory Pseudowords And Visual Shapes,neuroscience,0
Uncovering Network Architecture Using an Exact Statistical Input-Output Relation of a Neuron Model,neuroscience,0
A learned embedding for efficient joint analysis of millions of mass spectra,bioinformatics,0
体细胞疾病减轻Schwachman-Diamond综合征中最具破坏性的EFL1等位基因组合,genetics,1
喀麦隆三个卫生区的年度家庭疟疾发作（AHMES）的持久杀虫剂网（LLIN）所有权/利用率指标的影响,epidemiology,1
Cell fitness is an omniphenotype,systems biology,0
Non-random sister chromatid segregation mediates rDNA copy number maintenance in Drosophila,developmental biology,0
新型的机械敏感频道控制锥虫锥虫菌的渗透调节，分化和感染力,microbiology,1
Species Tree Inference on Data with Paralogs is Accurate Using Methods Intended to Deal with Incomplete Lineage Sorting,evolutionary biology,0
Neurocomputational underpinnings of expected surprise,neuroscience,0
Visual exposure enhances stimulus encoding and persistence in primary cortex,neuroscience,0
视觉决策中鼠标皮层的感觉编码和因果影响,neuroscience,1
Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,genomics,0
果蝇Tbetah基因的等位基因的差异优势挑战标准遗传技术,genetics,1
与类维生素相关的核受体和Let-7 microRNA之间的反馈控制了秀丽隐杆线虫中摩擦周期的速度和数量。,developmental biology,1
Cyclic Nucleotide-Gated Ion Channel 2 modulates auxin homeostasis and signaling,plant biology,0
用可变的横向横向层有效，有效地识别复杂序列模式,bioinformatics,1
Rigorous equations for isothermal titration calorimetry: theoretical and practical consequences,biophysics,0
发现进化染色质对转座活性反应的足迹：将生物物理与生物信息学合并,biophysics,1
叶绿体改变其形态并在感染疫霉菌感染期间在病原体界面上积聚,plant biology,1
核体中RBM10的固相：靶向序列和生物学意义,molecular biology,1
Rbm10 facilitates heterochromatin assembly via the Clr6 HDAC complex,molecular biology,0
数据驱动的掺杂化学物质的转录分类法，以鉴定白色和乳脂剂量,pharmacology and toxicology,1
Stimulation of phospholipase Cβ1 by Gαq promotes the assembly of stress granule proteins,biochemistry,0
A neuroendocrine pathway modulating osmotic stress in Drosophila,neuroscience,0
Development and maintenance of synaptic structure is mediated by the alpha-tubulin acetyltransferase MEC-17/αTAT1,cell biology,0
印迹的IGF2-IGF2R轴对于将胎盘微脉管膨胀与胎儿生长匹配至关重要,developmental biology,1
早期胚胎发育中的进行性域分离以及与遗传和表观遗传变化的基本相关性,developmental biology,1
Krüppel-like factor gene function in the ctenophore Mnemiopsis leidyi assessed by CRISPR/Cas9-mediated genome editing,developmental biology,0
通过谱系转换和癌基表达组合的细胞转化,cancer biology,1
Phosphorylation-dependent routing of RLP44 towards brassinosteroid or phytosulfokine signalling,plant biology,0
鉴定多样性小鼠微生物组数据中样品混合和混合物,genetics,1
Widespread latitudinal asymmetry in marginal population performance,ecology,0
从基底外侧杏仁核到腹侧海马的单突触投影的化学发生抑制可减少食欲和彻底的酒精饮酒行为,neuroscience,1
Thunor: Visualization and Analysis of High-Throughput Dose-response Datasets,pharmacology and toxicology,0
神经时间序列数据的多元分类中的高通滤器数据,neuroscience,1
The HIV-1 ribonucleoprotein dynamically regulates its condensate behavior and drives acceleration of protease activity through membraneless granular phase separation,molecular biology,0
Long-term potentiation in neurogliaform cells modulates excitation-inhibition balance in the temporoammonic pathway,neuroscience,0
Individual tree-crown detection in RGB imagery using semi-supervised deep learning neural networks,ecology,0
多运动分析揭示了哺乳动物CIC在细胞周期调节和有丝分裂保真度中的作用,cancer biology,1
与Granger因果关系的网络推断单细胞转录组数据,bioinformatics,1
Multiple sources of Shh are critical for the generation and scaling of ventral spinal cord oligodendrocyte precursor populations.,developmental biology,0
微生物的代谢和阿特里比菌主导的甲烷水合物沉积物的适应,microbiology,1
玉米品种显微镜图像中的气孔分类和检测系统,plant biology,1
标量庞加罗地图，用于在Xenopus Tadpoles中挣扎,neuroscience,1
蛋白质的食欲驱动大量营养素相关的腹侧换段区域神经活动的差异,neuroscience,1
"Dot1L-dependent H3K79 methylation facilitates histone variant H2A.Z exchange at DNA double strand breaks and is required for high fidelity, homology-directed DNA repair",molecular biology,0
Optical measurement of voltage sensing by endogenous ion channel,biophysics,0
疫病：K-Mers有效的精确关联结构,bioinformatics,1
从概念到翻译的细胞流行病学的工作流动,physiology,1
玉米括号根机制因螺纹，基因型和生殖阶段而异,plant biology,1
Urinary glucocorticoids in harbour seal (Phoca vitulina) pups during rehabilitation,zoology,0
The pharmacodynamic inoculum effect from the perspective of bacterial population modeling,pharmacology and toxicology,0
相反的类固醇信号通过秀丽隐杆线虫中脂肪代谢的深刻变化来调节蛋白质稳态,genetics,1
开花基因调节网络采用的基因组暗物质中可转座元件的痕迹。,genomics,1
狂犬病病毒具有不稳定结构域，仅当去除域时，在神经元之间添加了核蛋白扩散,neuroscience,1
动态连接流感病毒感染动力学，肺损伤，炎症和疾病严重程度,systems biology,1
Transcriptomic analysis of human and mouse muscle during hyperinsulinemia demonstrates insulin receptor downregulation as a mechanism for insulin resistance,physiology,1
通过部分蛋白涂层和自由旋转的底座使针对高急性压力的内吞作用变得更容易,biophysics,0
负面影响引起反事实表示的快速学习：一种基于模型的面部表达分析方法,neuroscience,0
传输RNA受体组中的编码三胞胎及其在当前和过去的tRNA识别中的作用,genetics,1
"Internal noise measures in coarse and fine motion direction discrimination tasks, and the correlation with autism traits",neuroscience,1
Polymer brush bilayers under stationary shear motion at linear response regime: A theoretical approach,biophysics,0
What the odor is not: Estimation by elimination,neuroscience,0
CDC14磷酸酶控制减数分裂过程中重组中间体和跨界形成的分辨率,genetics,1
与富含AU的RNA结合的死端的溶液结构揭示了mRNA调节所需的串联RRM-RNA识别的前所未有的模式,molecular biology,0
在黄海保存未受保护的重要沿海栖息地：Lianyungang的海鸟发生，分配和食物资源,ecology,0
Eco-evolutionary dynamics further weakens mutualistic interaction and coexistence under population decline,ecology,1
事件细分显示工作内存遗忘率,neuroscience,1
对Neurospora Crassa中减数分裂沉默的DNA同源性的重组识别的识别,molecular biology,1
Publicly available transcriptomes provide the opportunity for dual RNA-Seq meta analysis in Plasmodium infection,bioinformatics,0
"Common variants associated with OSMR expression contribute to carotid plaque vulnerability, but not to cardiovascular disease in humans",genetics,1
Liver X Receptor; Controls Hepatic Stellate Cell Activation via Hedgehog Signaling,cell biology,0
Balancing selection of the Intracellular Pathogen Response in natural Caenorhabditis elegans populations,genetics,0
候选因果变体既增强的认知表现又增加了双相情感障碍的风险,genetics,1
"PME-1 suppresses anoikis, and is associated with therapy relapse of PTEN-deficient prostate cancers",cancer biology,1
A stable pollination environment limits current but not potential evolution of floral traits,evolutionary biology,1
蛋白质结构没有结构确定：基于体外进化的直接耦合分析,evolutionary biology,1
Variations in Structural MRI Quality Significantly Impact Commonly-Used Measures of Brain Anatomy,neuroscience,1
Rapid neural representations of personally relevant faces,neuroscience,0
Single trial dynamics of attentional intensity in visual area V4,neuroscience,0
"Quantifying Climatic and Socio-Economic Influences on Urban Malaria in Surat, India: A Modelling Study",ecology,0
基因组数据和多物种人口统计模型发现了当前同种异体淡水物种之间的过去杂交,evolutionary biology,0
Effective clustering for single cell sequencing cancer data,cancer biology,1
全球哺乳动物Zooregions揭示了过去人类影响的信号,ecology,0
从整个基因组序列数据中恢复性状遗传力,genetics,1
The PIWI/piRNA response is relaxed in a rodent that lacks mobilizing transposable elements,evolutionary biology,1
哺乳动物线粒体突变光谱是细胞和生物衰老的标志。,genomics,1
"Familiar neighbours, but not relatives, enhance fitness in a territorial mammal",evolutionary biology,1
The degree of polymerization and sulfation patterns in heparan sulfate are critical determinants of cytomegalovirus entry into host cells,microbiology,1
图书馆的准备和测序平台引入了基于元基因组的微生物特征的偏见,microbiology,0
单位分辨率的氨基酸倾斜度变化的系统发育推断,evolutionary biology,0
蛤corbicula中的广泛遗传混合,evolutionary biology,1
Rate-limiting transport of positive charges through the Sec-machinery is integral to the mechanism of protein transport,biochemistry,0
Single cell transcriptomics identifies master regulators of dysfunctional pathways in SOD1 ALS motor neurons,genomics,0
人类原发性皮层的种群接受场，作为DC平衡带通滤波器组织。,neuroscience,1
CRISPR-SID: identifying EZH2 as a druggable target for desmoid tumors via in vivo dependency mapping,cancer biology,0
OpenAnnotate: a web server to annotate the chromatin accessibility of genomic regions,bioinformatics,1
Rapid label-free identification of pathogenic bacteria species from a minute quantity 1 exploiting three-dimensional quantitative phase imaging and artificial neural network,microbiology,1
Quality control of large genome datasets using genome fingerprints,genomics,1
以肿瘤为目标的儿童疫苗通过减毒李斯特菌的抗原减少胰腺癌,immunology,0
Heterologous Cas9 and non-homologous end joining as a Potentially Organism-Agnostic Knockout (POAK) system in bacteria,synthetic biology,0
从生长停滞对照中释放后的杂染色质更新在整个基因组的转录重新激活中，,molecular biology,1
MetaNovo: a probabilistic approach to peptide discovery in complex mass spectrometry datasets,bioinformatics,0
高通量纳米镜检查的集成平台,biophysics,1
亚基间耦合可以通过还原羧酸酶实现快速的二氧化碳固定,biophysics,1
Network science inspires novel tree shape statistics,bioinformatics,1
一套稀有微生物与主导，可遗传的真菌内生菌相互作用，以影响植物特征表达,ecology,0
竞争和多样性的稳定作用决定疫苗对抗生素耐药性演化的影响,evolutionary biology,0
奖励动机增加了单变量活动，但对整个额叶皮层的任务相关信息的编码影响有限,neuroscience,1
参考质粒PHXB2_D是一种HIV-1分子克隆,genomics,0
使用一种新型的小分子抑制剂将转移耦合到pH传感GPR68,cancer biology,0
